data,target
"b""There has been considerable recent interest in the support of\ntransactional memory (TM) in both hardware and software. We present\nan intermediate approach, in which hardware is used to accelerate\na TM implementation controlled fundamentally by software. Our hardware\nsupport reduces the overhead of common TM tasks, namely, conflict\ndetection and data isolation, for bounded transactions. Software\ncontrol allows policy flexibility for conflict detection,\ncontention management, and data granularity, in addition to\nenabling transactions unbounded in space and time. Our hardware\nconsists of 1) an alert-on-update mechanism for fast event-based\ncommunication, used for software-controlled conflict detection;\nand 2) support for programmable data isolation, allowing multiple\nconcurrent transactional readers and writers at the software's\nbehest, along with fast data commit and abort support (using only\na few cycles of completely local operation).\n\nOur results show that for common-case bounded transactions,\nthe proposed hardware mechanisms eliminate data copying and\ndramatically reduce the overhead of bookkeeping and validation\n(resulting in a factor of 2 improvement in performance on average).\nMoreover, RTM shows good scalability as the number of threads is\nincreased and graceful degradation in performance when transactions\noverflow available hardware support. Detecting conflicts eagerly\n(on first access) or lazily (at commit time), enabled by the ability\nto handle multiple concurrent transactional writers and readers,\ncan result in differences in performance in either direction\ndepending on the application access pattern (up to two orders\nof magnitude at 16 threads for one workload), demonstrating\nthe need for policy flexibility.""",2
"b'This paper describes the performance evaluation of six temporal reasoning\nsystems. We show that if you are working with large temporal datasets\nwhere information is added incrementally throughout the execution\nof the program, systems using incompletely connected graphs (i.e., TMM,\nTimeGraph and TimeGraph-II) seem the best option.\nWhile they do not offer the constant query time of systems using\nfully connected graphs (i.e., the systems based on constraint satisfaction),\nthe savings at assertion time are so substantial that the relatively small\nperformance penalty for queries is a reasonable tradeoff.\nOf course, these systems do not offer the expressivity of the\ninterval-based systems as they only handle point-based relations.\nOf the three, TimeGraph-II offers a wider range of qualitative relations\nas it handles point inequality. It does not currently handle metric\ninformation, however, as do TMM and TimeGraph. Thus decisions\nbetween these three may be more determined by the reasoning capabilities\nrequired rather than raw performance.'",0
"b'We describe implementation details of an activity detection system\nwhose function is to detect small image regions (pixels) that are\ninconsistent with a learned and adaptive background model. The system \nis based on a classic multiple Gaussian model approach, but contains\nadditional model elements to deal with phenomena characteristic of\noutdoor environment such as wind-blown foliage and moving cloud \nshadows.'",1
"b""We argue for transactions as the synchronization primitive of an\nordering-based memory consistency model.  Rather than define\ntransactions in terms of locks, our model defines locks, conditions,\nand atomic/volatile variables in terms of transactions.  A\ntraditional critical section, in particular, is a region of code,\nbracketed by transactions, in which certain data have been\nprivatized.  Our memory model, originally published at OPODIS'08, is\nbased on the database notion of strict serializability (SS). In an\nexplicit analogy to the DRF0 of Adve and Hill, we demonstrated that\nSS provides the appearance of transactional sequential consistency\n(TSC) for programs that are transactional data-race free (TDRF).\nWe argue against relaxation of the total order on transactions, but\nshow that selective relaxation of the relationship between program\norder and transaction order (selective strict serializability - SSS)\ncan allow the implementation of transaction-based locks to be as\nefficient as conventional locks.  We also show that condition\nsynchronoication (in the form of the transaction retry primitive) can\nbe accommodated in our model without explicit mention of speculation,\nopacity, or aborted transactions.  Finally, we compare SS and SSS to\nthe notion of strong isolation (SI), arguing the SI is neither\nsufficient for TSC nor necessary in programs that are TDRF.""",2
"b'This paper presents a computational model of how conversational \nparticipants collaborate in order to make a referring action successful.\nThe model is based on the view of language as goal-directed behavior.\nWe propose that the content of a referring expression can be accounted for\nby the planning paradigm. Not only does this approach allow the processes\nof building referring expressions and identifying their referents to be\ncaptured by plan construction and plan inference, it also allows us\nto account for how participants clarify a referring expression by\nusing meta-actions that reason about and manipulate the plan derivation\nthat corresponds to the referring expression. To account for how\nclarification goals arise and how inferred clarification plans affect \nthe agent, we propose that the agents are in a certain state of mind, and\nthat this state includes an intention to achieve the goal of referring\nand a plan that the agents are currently considering.\nIt is this mental state that sanctions the adoption of goals\nand the acceptance of inferred plans, and so acts as a link between\nunderstanding and generation.'",0
"b'A Personalized System of Instruction (PSI) is a student-paced method\nof teaching in which students progress by displaying mastery of written\nmaterial. Cooperative Learning is a method of instruction in which students\nwork in groups to help each other study. In the Fall of 1996, a computer\nliteracy course in which half of the students followed a PSI curriculum\nand the other half followed a Cooperative Learning curriculum was offered.\nData from this experiment showed several statistically significant\ndifferences between the two curricula in student satisfaction as measured\nby end-of-the-semester course evaluation forms. These questionnaires\nindicated that students felt that the PSI classes increased their knowledge\nat the 99\\% confidence level. They also indicated that students felt that\nthe PSI course procedures better supported course objectives, that the PSI\ncourse required more work, and that it was easier to get answers from the TAs\nin the PSI classes at the 95\\% confidence level. The data also showed\nstatistically significant evidence that students learned more from the PSI\ncurriculum as measured by exams. Analysis of rosters from the programming\nclass offered the following semester showed no statistically significant\ndifference between the proportion of the PSI students who took the\nprogramming class and the proportion of the cooperative learning students\nwho took the programming class.'",0
"b'Unger studied the balanced leaf languages defined via poly-logarithmically sparse leaf pattern sets.  Unger shows that $\\np$-complete sets are not polynomial-time many-one reducible to such balanced leaf language unless the polynomial hierarchy collapses to Theta^p_2 and that Sigam^p_2-complete sets are not polynomial-time bounded-truth-table reducible (respectively, polynomial-time Turing reducible) to any such balanced leaf language unless the polynomial hierarchy collapses to Delta^p_2 (respectively, Sigma^p_4).\n\nThis paper studies the complexity of the class of such balanced leaf languages, which will be denoted by VSLL.  In particular, the following tight upper and lower bounds of VSLL are shown:\n\n1. coNP is included in VSLL and VSLL is included in coNP/poly (the former inclusion is already shown by Unger).\n\n2. coNP/1 is not included in VSLL unless PH collapses to Theta^p_2.\n\n3.  For no constant c&gt;0, VSLL is included coNP/n^c.\n\n4.  P/(loglog(n) + O(1)) is included in VSLL.\n\n5.  For no h(n) = loglog(n) + omega(1), P/h is included in VSLL.'",3
"b'A characteristic feature of the mammalian visual cortex is the reciprocity\nof connections between cortical areas. While corticocortical feedforward\nconnections have been well studied, the computational function of the\ncorresponding feedback projections has remained relatively unclear.\nWe have modelled the visual cortex as a hierarchical predictor wherein\nfeedback projections carry predictions for lower areas and\nfeedforward projections carry the difference between the predictions\nand the actual internal state. The activities of model neurons and their\nsynaptic strength are continually adapted using a hierarchical Kalman filter\nthat minimizes errors in prediction. The model generalizes several\npreviously proposed encoding schemes and allows functional interpretations\nof a number of well-known psychophysical and neurophysiological phenomena.\nHere, we present simulation results suggesting that the classical phenomenon\nof endstopping in cortical neurons may be viewed as an emergent property\nof the cortex implementing a hierarchical Kalman filter-like prediction\nmechanism for efficient encoding and recognition.'",0
"b""A Polhemus 3Space Isotrak sensor system is used on the\nVPL Research DataGlove Model 2 to detect the glove's absolute\nposition and orientation. The sensor system has two components:\nthe Polhemus sensor and the Polhemus source.\nThe sensor is attached to the back of the DataGlove.\nThe sensor sends to the DataGlove Control Unit analog signals,\nwhich are converted into the Polhemus data--six parameters that\nrepresent the position and orientation of the sensor\nrelative to the source. This document describes how\nthe Polhemus devices work and how the Polhemus data should be interpreted.\nIt also describes the transformation of the Polhemus output\ninto the (X, Y, Z, O, A, T) space of the robot in the\nUniversity of Rochester Robotics Laboratory.\nThis transformation allows teleoperation of the robot\nthrough the use of the Polhemus devices.""",1
"b""Control and bribery are settings in which an external agent seeks\nto influence the outcome of an election.  Constructive control of\nelections refers to attempts by an agent to, via such actions as\naddition/deletion/partition of candidates or voters, ensure that a\ngiven candidate wins [BTT92].  Destructive control refers to attempts\nby an agent to, via the same actions, preclude a given candidate's\nvictory [HHR07a].  An election system in which an agent can sometimes\naffect the result and it can be determined in polynomial time on which\ninputs the agent can succeed is said to be vulnerable to the given\ntype of control.  An election system in which an agent can sometimes\naffect the result, yet in which it is NP-hard to recognize the inputs\non which the agent can succeed, is said to be resistant to the given\ntype of control.\n\nAside from election systems with an NP-hard winner problem, the only\nsystems previously known to be resistant to all the standard control\ntypes were highly artificial election systems created by hybridization\n[HHR07b].  This paper studies a parameterized version of Copeland\nvoting, denoted by Copeland^\\alpha, where the parameter \\alpha is a\nrational number between 0 and 1 that specifies how ties are valued in\nthe pairwise comparisons of candidates.  In every previously studied\nconstructive or destructive control scenario, we determine which of\nresistance or vulnerability holds for Copeland^\\alpha for each\nrational \\alpha, 0 \\leq \\alpha \\leq 1.  In particular, we prove that\nCopeland^{0.5}, the system commonly referred to as ``Copeland\nvoting,'' provides full resistance to constructive control, and we\nprove the same for Copeland^\\alpha, for all rational \\alpha, 0 &lt;\n\\alpha &lt; 1.  Among systems with a polynomial-time winner problem,\nCopeland voting is the first natural election system proven to have\nfull resistance to constructive control.  In addition, we prove that\nboth Copeland^0 and Copeland^1 (interestingly, Copeland^1 is an\nelection system developed by the thirteenth-century mystic Ramon\nLlull) are resistant to all standard types of constructive control\nother than one variant of addition of candidates.  Moreover, we show\nthat for each rational \\alpha, 0 \\leq \\alpha \\leq 1, Copeland^\\alpha\nvoting is fully resistant to bribery attacks, and we establish\nfixed-parameter tractability of bounded-case control for\nCopeland^\\alpha.\n\nWe also study Copeland^\\alpha elections under more flexible models\nsuch as microbribery and extended control, we integrate the potential\nirrationality of voter preferences into many of our results, and we\nprove our results in both the unique-winner model and the\nnonunique-winner model.  Our vulnerability results for microbribery\nare proven via a novel technique involving min-cost network flow.""",3
"b""David Lowe's influential and classic algorithm for tracking objects\nwith known geometry is formulated with certain simplifying assumptions. A\nversion implemented by Ishii et al. makes different simplifying assumptions.\nWe formulate a full projective solution and apply the same algorithm (Newton's\nmethod). We report results of extensive testing of these three algorithms.\nWe compute two image--space and six pose--space error metrics to quantify the\neffects of object pose, errors in initial solutions, and image noise levels.\nWe consider several scenaria, from relatively unconstrained conditions to\nthose that mirror real--world and real--time constraints. The conclusion is\nthat the full projective formulation makes the algorithm orders of magnitude\nmore accurate and gives it super--exponential convergence properties with\narguably better computation--time properties.""",1
"b'Recent neurophysiological experiments appear to indicate that the\nresponses of visual cortical neurons in a monkey freely viewing a\nnatural scene can sometimes differ substantially from those obtained when\nthe same image subregions are flashed during a conventional fixation task.\nThese new findings attain significance from the fact that\nneurophysiological research in the past has been based predominantly\non cell recordings obtained during fixation tasks, under the\nassumption that these data would be useful in predicting responses\nin more general situations. We describe a hierarchical model of\nvisual memory that reconciles the two differing experimental results\nmentioned above by predicting neural responses in both\nfixating and free-viewing conditions.\nThe model dynamically combines input-driven bottom-up\nsignals with expectation-driven top-down signals to achieve optimal\nestimation of current state using a Kalman filter based framework.\nThe architecture of the model posits a role for the reciprocal\nconnections between adjoining visual cortical areas\nin determining neural response properties.'",0
"b""Temporal projection is a crucial task in planning.\nIn order to achieve its goals, the planner must be able to reason about\nthe consequences of its actions.  In the real world, the planner does\nnot have complete information about the environment or even the\nconsequences of its actions.\nThe planner thus must be able to reason about the probabilistic nature of\nthe world and the probabilistic effects of its action.\n\nInteractions between actions and events in the world are not only\nprobabilistic; they also are temporally complex.  Simultaneous events\ncan interact in many different ways depending on their temporal\nproperties.  An action's temporal relation to its preconditions and\neffects can also become quite complex.\n\nExisting projection systems are weak in their representations of\ntemporally complex actions and events in a probabilistic world.\nThose that can handle probabilistic situations have a limited\nrepresentation of temporal relations, while those that can handle\ncomplex temporal relations generally assume the world to be completely\ndeterministic.  Moreover, the speed of existing probabilistic projection\nsystems are low.  These systems are impractical to scale up to larger\nproblems. In this thesis, we propose a practical projection system that can\nhandle both the probabilistic nature of the world and the temporally complex\nnature of actions. The projection is based on simulation methods.\nProjection is done by simulating possible courses of events, one at a time.\nThe simulation traces are then collected and processed by a projection\nmodule front-end, which provides the planner and the execution monitor\nwith probabilistic estimates of propositions' values. \nThe representation allowed by the system is rich in both the temporal\nand the probabilistic aspects.""",0
"b'Augmented Reality (AR) systems insert graphics objects into the images\nof real scenes. Geometric and photometric consistency has to be achieved\nto make AR systems effective and bring photorealism to the augmented\ngraphics. Particularly, global illumination effects between the\ngraphics objects and scene objects need to be simulated. This thesis\ninvestigates ways to improve AR rendering by creating cast shadows\nbetween the real and graphics objects. This requires knowledge about\nthe scene lighting and the scene structure. We first give novel methods of\nrecovering the light sources from the input images. For indoor scenes,\nwe take advantage of scene regularities such as parallel and orthogonal\nwalls. For outdoor scenes and indoor scenes where the lights can be\napproximated by a directional light source, we show a method of finding\nthe light source from cast shadows present in the real scene.\n\nBesides the light source structure, we also need to know the 3D\nstructure of the scene so that we can render the shadow cast on a\nreal object by a graphics object. Using spheres as primitives,\nwe develop an algorithm to approximate the shape of the scene objects\nfrom multiple silhouettes.\n\nWith all the above components, one can build an AR system that\ninfers necessary information of the scene from shadows and inserts\ngraphics object with convincing shadows. To justify our endeavor\nin terms of shadows being important in human spatial perception, we\ninvestigate shadow perceptions in the context of cue integration.'",1
"b'TEA-1 is a selective vision system that uses Bayes nets\nfor representation and benefit-cost analysis for control of visual\nand nonvisual actions. TEA-1 solves T-world problems, a class of problems\ninvolving static two-dimensional scenes. For example, TEA-1 has been\ndemonstrated to answer questions about scenes of dinner tables.\n\nThis paper presents dTEA-1, an extension to TEA-1 that allows tasks\nto be performed on dynamic scenes. Currently, dTEA-1 successfully\nperforms a task on a simulated train scene.\nThe objects in the scene include a train on a track and a herd of cows,\nbut the domain may be extended to include static objects\nand other classifications of moving objects. The task is to keep track\nof the locations of objects, and the system intelligently allocates\nits effort to keep uncertainty and cost to a minimum.'",1
"b'To describe phenomena that occur at different time scales,\ncomputational models of the brain necessarily must incorporate\ndifferent levels of abstraction.\nWe argue that at time scales of approximately one-third of a second,\norienting movements of the body play a crucial role in cognition and\nform a useful computational level, termed the embodiment level.\nAt this level, the constraints of the body determine the nature of\ncognitive operations, since the natural sequentiality of body movements\ncan be matched to the natural computational economies of sequential\ndecision systems. The way this is done is through a system of implicit\nreference termed deictic, whereby pointing movements are used to bind\nobjects in the world to cognitive programs. We show how deictic bindings\nenable the solution of natural tasks and argue that one of the central\nfeatures of cognition, working memory, can be related to moment-by-moment\ndispositions of body features such as eye movements and hand movements.'",0
"b'Using a combination of techniques from visual representations,\nview synthesis, and visual-motor transfer function estimation, we present\na method for animating movements of an active agent (e.g., robot),\nwithout the use of any prior models or explicit 3d information.\nThe information needed to generate simulated images can be acquired\neither on or off line, by watching the agent doing an arbitrary,\npossibly unrelated task. We present experimental results synthesizing\nimage sequences of the movement of a simulated PUMA 760 robot arm,\nusing both joint space and Cartesian world coordinate control.\nWe have created a user interface, where a user can input a robot movement\nprogram, and then upon execution, view movies of the (simulated) robot\nexecuting the program, along with the instantaneous dynamic variables\nfrom the simulated robot.'",1
"b""Scoring protocols are a broad class of voting systems.  Each is\ndefined by a vector $(\\alpha_1,\\alpha_2,\\ldots,\\alpha_m)$, $\\alpha_1\n\\geq \\alpha_2 \\geq \\cdots \\geq \\alpha_m$, of integers such that each\nvoter contributes $\\alpha_1$ points to his/her first choice,\n$\\alpha_2$ points to his/her second choice, and so on, and any\ncandidate receiving the most points is a winner.\n\nWhat is it about scoring-protocol election systems that makes some\nhave the desirable property of being NP-complete to manipulate, while\nothers can be manipulated in polynomial time?  We find the complete,\ndichotomizing answer: Diversity of dislike.  Every scoring-protocol\nelection system having two or more point values assigned to candidates\nother than the favorite---i.e., having $||\\{\\alpha_i \\condition 2 \\leq\ni \\leq m\\}||\\geq 2$---is NP-complete to manipulate.  Every other\nscoring-protocol election system can be manipulated in polynomial\ntime.  In effect, we show that---other than trivial systems (where all\ncandidates alway tie), plurality voting, and plurality voting's\ntransparently disguised translations---\\emph{every} scoring-protocol\nelection system is NP-complete to manipulate.""",3
"b'We study the behavior of Range Voting and Normalized Range Voting\nwith respect to electoral control. Electoral control encompasses attempts\nfrom an election chair to alter the structure of an election in order\nto change the outcome. We show that a voting system resists a case of\ncontrol by proving that performing that case of control is\ncomputationally infeasible.  Range Voting is a natural extension of\napproval voting, and Normalized Range Voting is a simple variant which\nalters each vote to maximize the potential impact of each voter.  We\nshow that Normalized Range Voting has among the largest number of\ncontrol resistances among natural voting systems.'",3
"b'While a conventional program uses exactly as much memory as it\nneeds, the memory use of a garbage-collected program can be adjusted\nby changing the size of the heap used by the garbage collector. This\ndifference can allow applications to adapt their memory demands in\nresponse to the changing amount of available memory in a shared\nenvironment, which is increasingly important for today\xc3\xa2\xc2\x80\xc2\x99s multicore,\nmultiprocessor machines.\nWe present a memory performance model that better addresses issues\nthat occur with the more changeable memory demands of\ngarbage-collected applications. Traditional locality models are not\ndirectly applicable because the application demand may change based on\nthe available memory size. We describe time-memory curves, which can\nbe used to derive optimal static memory allocation a shared\nenvironment. For dynamic environments, however, more will be needed.\nIn this work, we describe Poor Richard\xc3\xa2\xc2\x80\xc2\x99s Memory Manager, a lightweight\nsystem to reduce paging costs that can be incorporated into existing\nruntime systems. We describe the design of the memory manager and show\nhow it can be added to most existing garbage collectors with little to\nno effort. Using an ex- perimental evaluation of both homogeneous and\nheterogeneous Java workloads on a dual processor machine, we show that\nPoor Richard\xc3\xa2\xc2\x80\xc2\x99s Memory Manager improves average performance by a factor\nof 3 or more when paging, while adding almost no overhead when there\nis no memory pressure. We further show that this system is not\nspecific to any single algorithm, but improves every garbage collector\non which it is tested. We finally demonstrate the versatility of our\nmemory manager by using it to improve the performance of a range of\n.Net workloads.'",2
"b'We describe the goals, architecture, and functioning of the TRAINS-93\nsystem, with emphasis on the representational issues involved in\nputting together a complex language processing and reasoning agent. \nThe system is intended as an experimental prototype of an intelligent,\nconversationally proficient planning advisor in a dynamic domain of\ncargo trains and factories. For this team effort, our strategy at the\noutset was to let the designers of the various language processing,\ndiscourse processing, plan reasoning, execution and monitoring modules\nchoose whatever representations seemed best suited for their tasks, but with\nthe constraint that all should strive for principled, general approaches.\n\nDisparities between modules were bridged by careful design of the\ninterfaces, based on regular in-depth discussion of issues encountered by\nthe participants. Because of the goal of generality and principled\nrepresentation, the multiple representations ended up with a good deal\nin common (for instance, the use of explicit event variables and the\nability to refer to complex abstract objects such as plans); and future\nunifications seem quite possible. We explain some of the goals and\nparticulars of the KRs used, evaluate the extent to which they served their\npurposes, and point out some of the tensions between representations that\nneeded to be resolved. On the whole, we found that using very expressive\nrepresentations minimized the tensions, since it is easier to extract what\none needs from an elaborate representation retaining all semantic nuances,\nthan to make up for lost information.'",0
"b""Existing algorithms for pronoun resolution typically cast the problem\ninto a coreference task, which means they simply identify an antecedent\nnoun phrase for each pronoun. Selection of the antecedent is usually based\non a calculation of salience or focus. This simplified approach is unable to\naccount for pronouns without noun-phrase antecedents. Examples are abstract\nreferents such as events, propositions, and speech acts that might appear in\nthe linguistic surface form as sentential complements, verbal constructions\nor entire sentences, as well as consequences or outcomes that don't appear\nin the surface form at all. This paper contains a survey of current methods\nof pronoun resolution for natural language understanding.  It then proposes\na strategy for resolving pronominal reference to abstract entities that\nincorporates semantic information in addition to salience calculations.\nPreliminary experiments are described that show the strategy to perform\nwell above baseline on a collection of spoken task-oriented dialogs.""",0
"b'We describe two domain-independent temporal reasoning systems called\nTimeGraph I and II, which can be used in AI-applications as tools for\nefficiently managing large sets of relations in the Point Algebra, in\nthe Interval Algebra, and metric information such as absolute times\nand durations. Our representation of time is based on timegraphs,\ngraphs partitioned into a set of chains on which the search is\nsupported by a metagraph data structure.  TimeGraph I was originally\ndeveloped by Taugher, Schubert, and Miller in the context of story\ncomprehension. TimeGraph II provides useful extensions, including\nefficient algorithms for handing inequations, and relations expressing\npoint-interval exclusion and interval disjointness. These extensions\nmake the system much more expressive in the representation of\nqualitative information and suitable for a large class of applications.'",0
