data,target
b'detonation shock dynamics and multi-step kinetics',6
b'mathematical sciences  analytical problems for models in compressible fluid mechanics',6
b'a proposal for  on quantum computation and clustering algorithms',15
b'laboratory in comparative ethnic processes (licep)  formal and empirical approaches to ethnic mobilization -- series of workshops',11
b'optimization of space usage',13
b'mantle minerals under extreme conditions',3
b'mathematical sciences  nonparametrics and resampling for spatial data',14
b'modeling refugee and internally displaced flows',11
b'mathematical sciences  study of nonlinear waves in compressible flows and mechanics',6
b'multilevel presentation and query processing in multimedia database systems',0
b'monterey workshop 2001-- engineering automation for software intensive system integration',13
b'pragmatic issues in semantics-based transaction processing',0
"b'mathematical sciences  stability, oscillations, and persistence in differential equation models for structured populations.'",6
b'oxygen & iron isotopic analyses of bacterially-produced iron oxides in the laboratory & in acid mine drainage  a watershed approach to classroom',5
b'reu site in economics',2
b'integrated stratigraphic and hydrogeologic aquifer analysis  toward improved multi-scale characterization of alluvial aquifer systems',5
b'nonlinear modeling of multiple economic time series',2
b'mathematical sciences  theories of the open channel',6
b'post-mast recruitment and performance for rain forest tree indonesia seedlings',1
b'the money management industry  its structure and effect on stock prices',2
"b""studies of the earth's deep interior""",3
b'spatial and spatial-temporal bayesian point process models for bioabudance and other applications',14
b'gender and the structure of paid and unpaid work  implications for well-being',12
b'some theoretical and applied inverse problems',6
b'post-fire re-colonization of ectomycorrhizal fungi',1
b'mycorrhizal mediation of grassland biotic interactions and plant community structure',1
b'us globec  predation impacts on target species  role of frontal processes and small predatorspecies',10
b'geographic variation in costs and benefits of vam fungi-little bluestem (schizachyrium scoparium) associations',1
b'speciation and gene flow in the open ocean  the phylogeography of an oceanic copepod family',10
b'mathematical sciences  from tori to cantori  symplectic mappings',6
b'myosin i isoform 1myr4 in xenopus laevis neural tissue development',9
b'experimental studies of transdomain remanence',3
b'on learning and characterizing classes of boolean functions',15
b'pyi  theory and implementation of database systems.',0
b'laboratory and field studies linking anisotropic electrical conductivity and deformation in the mantle',3
"b'bayesian, empirical likelihood and counting process methods for semiparametric models'",14
b'multi-media traffic queueing analysis',8
b'nitrogen fixation in the open ocean  assessing the role of recently discovered diazotrophs',10
"b'efficient combinatorial algorithms for several tiling, packing and covering problems with rectangles and hyper-rectangles'",15
"b'mathematical sciences  parallel, block and two-stage iterative methods for linear systems'",6
b'organization of postsynaptic proteins',9
b'firm organization and financial intermediation',2
"b'globec  mapping the evolution of meoscale jets and eddies in the upwelling ecosystem off cape blanco, oregon, using long-range'",10
b'compiler development using logic programming',13
b'normal mode studies of the mantle and core',3
b'on function classes with restricted resources',15
"b'iron cages, iron laws, and collection action  an analysis of a national association'",12
"b'workshop on computer support for policy analysis and design, george mason university'",13
b'mathematical sciences  networks of coupled oscillators',6
"b""experimental studies of convection in the earth's core""",3
"b'sensitivity, distribution, characterization and production of ultramicrobacteria'",10
"b'analysis of the transport and storage of contaminated sediments in the rio pilcomayo basin, bolivia  a geochemical-geomorphic'",5
b'multivariate estimation for astronomy',14
b'microeconomics of political economy and policy analysis',2
b'two problems in financial economics',2
b'mathematical sciences  geometric methods for nonlinear systems',6
b'mathematical sciences  analysis of transport properties for composites and multi-phase flows with application to optimal design',6
b'resolution and minimum aberration for nonregular factorial designs',14
b'modeling and scaling of material processing systems',6
"b'root foraging, competition, and coexistence in heterogeneous soils'",1
b'portfolio and consumption choice for long-term investors',2
b'mathematical sciences  nonlinear continuum mechanics',6
b'monitoring political change in the soviet union',11
b'american state constitutions  a historical series',2
b'r&d-based models of semi-endogenous growth',2
b'mathematical studies of excitability in physiological systems',6
b'multidimensional problems in dynamic plasticity',6
b'corporate governance around the world',2
b'integrated data exchange and concurrent designs for engineered facilities',0
b'operation of a trophic cascade in predator-free forest fragments',1
b'accomplishment based   substantive and measurement issues in the productivity growth slowdown',2
b'geodetic measurements of indo-asian plate convergence',3
b'population dynamics and species diversity of decomposers of patchy substrates',1
b'type inference for object-oriented software',13
b'suspension regulation in positively buoyant marine diatoms',10
b'expanded measures of price and quantity structures over space and time',2
b'optimization and learning over convex sets',15
b'underclass formaton and ethnicity in comparative and historical perspective  the case of central and eastern europe',12
b'on line competitive algorithm',15
"b'mathematical sciences  gradient projection methods, lagrangian augmentation techniques, and sufficient conditions for optimal control problems'",6
b'a unified theory of pseudorandomness',15
b'scalable decision tree construction',0
b'mathematical sciences  transport for symplectic mapping',6
b'bayesian approaches for handling multiplicities and designing experiments',14
"b'extreme values, time series and prediction'",14
b'subsurface geometry of active faults in the southern san andreas system',3
b'cooperative grain boundary sliding and heterogeneities of grain boundary character distribution in superplastic materials',7
"b'nonstationary spatial modeling for multiple point sources, with applications to enviromnental data'",14
b'the cape mendocino earthquake sequence apr. 25-26; monitoring & response',3
b'crust and mantle discontinuity structure beneath oceanic regions',3
"b'mathematical sciences  robust multivariate  algorithms, methodology and theory'",14
b'on 1970-1990 trends in occupational sex and race composition',12
b'biotic interactions and mycorrhizal dynamics in drought-stressed pinyon pine',1
b'ecosystem consequences of trophic exchange from a river to its watershed',1
b'decomposing the processing steps and neuronal basis of choice',2
b'career/epscor  geospatial database-driven extraction of information from digital aerial imagery',0
b'density vs. trait-mediated interactions between predators and prey  their influence on rocky shore algal diversity and community structure',10
b'foundations of dimension reduction and graphics',14
b'the physiology of sclerochronology  mechanism and variationin formation of high density bands in the massive coral montastrea annularis',10
b'neuroimmune interactions in the visual cortex during development',9
b'dehydration embrittlement of serpentine at high pressures  implications for intermediate and deep earthquakes',3
b'food quality gradients and exploitation tradeoffs for zooplankton in freshwater lakes',1
b'towards an engineering basis for software architecture',13
b'a zooplankton population dynamics model in the california current region',10
b'a caribbean-wide microbial epidemic and the mechanisms of sea fan resistance',10
b'fundamental understanding of superplasticity in nanocrystalline metals',7
b'global studies of seismicity and deformation at convergent margins due to heterogeneous coupling',3
b'fate determination in the disophila embryonic brain and visual systems',9
b'mathematical modeling of mems devices',6
b'mathematical sciences  non-autonomous ordinary and partial differential equations',6
b'csedi  - fine structure of the lower mantle',3
"b'conference on new directions in experimental design (dae 2003); may 14-17, 2003; chicago, il'",14
b'video on demand with vbr encoded video',8
b'deep structure of the altiplano and central andes from a transportable broadband seismic transect',3
b'do alternate stable community states exist in the gulf of maine rocky intertidal zone',10
b'nonconvex homogenization and applications',6
b'temporal changes in biological community structure and associated geological features at newly formed hydrothermal vents on the epr crest',10
b'pattern matching-theory and practice',15
b'ecotone dynamics and landscape response to climate change',1
b'prices and trading patterns in markets with asymmetrically informed traders',2
b'in-situ tem and sem studies of fundamental deformation and failure processes of nano-grained fcc metals using mems stages',7
b'control of neuronal growth and synaptogenesis',9
b'do vouchers improve educational outcomes? evidence from 3 private scholarship funds.',2
b'mathematical sciences  nonlinear partial differential equations and applications',6
b'complex upper mantle structure beneath northeastern us investigated through shear wave tomography',3
b'mathematical sciences  mathematical studies in quantum mechanics',6
b'new and regenerated production in the equatorial pacific',10
b'narrative networks  the world trade center tragedy',12
b'mathematical sciences  differential equations and continuum mechanics',6
b'international statistical institute travel grant',14
"b'mining human brain data  analysis, classification and visualization'",0
b'empirical analysis of the role of human and knowledge capital accumulation in international economic growth',2
b'multinomial density estimation - a projection pursuit approach and a wavelet approach',14
b'studies of global seismicity and earth structure',3
b'mathematical sciences  statistical multiple integration',14
b'recursive competitive search equilibrium  labor market applications',2
b'zooswat  a group study of the structure and function of theepipelagic zooplankton community of the sargasso sea',10
b'a flexible parametric approach to nonlinear data analysis',2
b'information casacades in markets',2
b'mathematical sciences  regularity and oscillations in mathematical theory of an ideal incompressible fluid',6
b'conference in continuum mechanics and conservation laws',6
b'on age-earnings profiles and age discrimination',2
b'maintenance of species diversity in temporary ponds',1
b'separators in two or more dimensions and parallel algorithm design',15
b'workshop in economic theory',2
b'ecological determinants of interaction strengh between a predator and its prey assemblage',1
b'concrete complexity of number-theoretic problems of importance to cryptography',15
b'mathematical sciences  ranking models with covariates',14
"b'optimization  theory, algorithms, and applications'",6
"b'exact and approximation pattern matching, and network routing'",15
b'direct and indirect effects of land crab herbivory on seedling community structure in a tropical rain forest',1
b'mathematical sciences  large-scale-ratio space-time chaos',6
b'determinants and consequences of military service  1940-1998',12
"b'southern ocean iron experiment (sofex)  mesoscale iron fertilization effects on plankton community structure, growth and zooplankton'",10
b'spatial organization of resistance and plant-pathogen dynamics',1
b'data structures and algorithms for maintaining data locality',15
b'marine humic substances  formation via vascular plant degradation and biological availability',10
b'the rising importance of skill',2
"b'patterns of disturbance, reproductive effort and succession across a depth gradient in a southern california kelp forest'",10
b'inferences for multivariate semiparametric and nonparametric models with applications to risk management',14
b'flexible strategies for internet content distribution',8
b'power-efficient ad hoc mobile networking',8
b'the emergence of a market society  between redistribution and markets in china',12
"b'social networks, financial markets, and household organization in a developing economy'",2
"b'internet congestion control  design, modeling, and analysis'",8
"b'caa  determination of slip on faults in california using vlbi, gps, and edm measurements'",3
b'ecohab  algicidal bacteria and the regulation of gymnodiniumbreve blooms in the gulf of mexico',10
b'female labor force participation in the united states  an update',12
b'the post-transcriptional regulation of gap-43 expression',9
b'economic analysis of greenhouse gas emissions  a structural decomposition analysis',2
b'women in the french front national',12
b'data management for mobile computing-exploratory  proposal',0
"b'bulk metallic glasses conference, singapore, september 24-28, 2000'",7
b'theory for the dynamics of coral reef fishes with applications to hypothesis testing',10
b'on political parties and electoral landscapes',11
b'constraining earthquake models with geodetic data',3
b'transport of mpeg-2 video traffic over atm networks',8
b'capital utilization and policy reform in dynamic equilibriumeconomics',2
b'linking pollination and herbivory  selection from herbivores on a flower color polymorphism',1
b'reversal records from leg 1 - investigation of records and use of be to test global intensity fluctuations',3
b'interactions between lineage and environmental factors in the developing optic tectum',9
b'mrpg  academic achievement post brown v. board',2
b'synapse formation and plasticity - synapse elimination',9
b'bacteria-phytoplankton interactions  the influence of marine bacteria on alexandrium spp. blooms in the gulf of maine',10
"b'nber summer institute, cambridge, ma 2000-2002'",2
b'mathematical sciences  theory of statistical estimation and stochastic models for ion channels',14
b'modelling economic time series under a bayesian frame of reference',2
b'mathematical sciences  dynamical systems in structured populations',6
"b'sixth international conference on the electrical transport and optical properties of inhomogeneous media; july 15-19, 2002; snowbird, utah'",6
b'on providing quality-of-service control for core-based multicast routing',8
b'specification and design support for software evolution',13
b'ner  exploring the mechanical and thermoelectric properties of composite nano-rods and nano-springs',7
b'the linguistic adaptation of u.s. immigrants and their children',12
"b""international symbiosis society congress support, august 17-23, 2003, saint mary's university, halifax, nova scotia""",1
b'tests of postseismic deformation models with absolute gravity and gps measurements in alaska',3
b'the design and rating of securities',2
b'powre  molecular mechanisms of thyroid hormone action on stem cells',9
b'gravity waves and binary neutron star hydrodynamics',4
b'the economics of creativity',2
b'development and application of bromodeoxyuridine immunochemical techniques for the molecular analysis of actively growing bacterioplankton',10
b'extensions and applications of snp models for economic time series',2
b'mathematical sciences  mathematical analysis of reactive multi-phase flows',6
b'dendritic retraction induced by cytokines',9
b'conference on mathematical models in medical and health sciences',6
b'applications and extensions of likelihood methods',14
b'statistical information in genetic studies  theory and methods',14
b'the revelation project query processing in behavioral object-oriented databases',0
b'graphs with bounded treewidth and complexity of restricted discrete optimization problems',15
b'mathematical sciences  thermal effects in fully-coupled transient models for dynamics quasi-brittle fracture',6
b'macroscopic approximations to networks with applications to performance analysis',8
b'ecophysiology of gelatinous zooplankton in hypoxic estuaries',10
b'symposium on case studies in bayesian statistics - vi',14
b'control of neuronal growth & synaptogenesis',9
"b'workshop on the politics of economic reform in the former communist-bloc states, los angeles, fall, 1991'",11
b'seismic and aseismic stress in southern california',3
b'mathematical sciences  nonparametric bayesian inference and gibbs sampling',14
b'the federal funds rate and the monetary transmission mechanism',2
"b'into spurious stochastics in panels, generalized forecast theory and evaluation of models'",2
b'backreaction effects in classical and semiclassical gravity',4
b'mathematical sciences  a study of weak solutions for the euler equations and related equations from plasma physics',6
"b'competing definitions of artistic, literary and social value'",12
b'on dynamic models of earnings and human capital accumulation in partial and general equilibrium settings',2
b'studying cognition via information search in game experiments',2
b'breaking barriers to electing african american candidates in majority-white districts  an oversample of african- americans',11
"b'jgofs-synthesis  the role of phytoplankton community structure in determining particulate elemental composition, carbon fixation, and bio-optical properties'",10
"b'a comparative rockmagnetic and calcite strain study of deformation, diagenesis, and remagnetization of paleozoic cratonic carbonates'",3
b'mathematical analysis of the orientation of symmetric particles sedimenting in newtonian and viscoelastic liquids',6
b'molecular genetic studies of neurogenesis in drosophila',9
b'the great escape  the industrial revolution in theory and in history',2
b'density-coupled transport in heterogeneous porous media  ob servations and comparison to stochastic theory',5
b'group processes and individual differences in standardized test scores',12
"b'democratic states and repeat military challenges, 1918-1994'",11
b'new analyses of free oscillation splitting with coupling  applications to source and structure determination',3
b'an integrated study of the source processes of the loma prieta earthquake',3
b'some direct and inverse problems in receptor neurodynamics',6
b'tellurium thermodynamics in ferrous alloys',7
"b'mixotrophy in bloom-forming dinoflagellates  interaction of c, n and p'",10
b'a dynamic analysis of cellular interactions and lineage relationships in the developing optic tectum',9
b'topics in quantum field theory',6
b'reasoning about low-level programming',13
b'chemical studies of natural inducers of larval settlement and metamorphosis for two species of phestilla (opisthobranchia)',10
b'point processes and time series  networks and wavelets',14
b'the distribution of education resources and outcomes  lessons from 25 years of reforms',2
b'automatic data and computation partitioning for array-parallel languages',13
b'an f-ratio model for pelagic marine ecosystem',10
b'tests of the rigid plate hypothesis and a revised global model for geologically instantaneous plate motions',3
b'workshop on interfaces to scientific archives',0
b'habitat partitioning by notonectids  temporal patterns and the role of spatial complexity',1
b'anaerobic methane oxidation in freshwater wetlands',1
b'decision trees and discrete search problems',15
b'predator-prey dynamics in a wolf-ungulate system',1
b'the psychological dynamics of radical social change  a longitudinal analysis of employed and unemployed ukrainian men and women',12
b'the economics of interjurisdictional hazardous waste transport  empirical analyses of the determinants and consequences of interjurisdictional shipping &',2
b'investigation into randomness and structural complexity',15
b'rui   paleoearthquake history of the garlock fault',3
"b'federalism and public education  the role of household choices, information and competition'",2
"b'- - media and mobilization  the case of radio and southern textile worker mobilization, 1929-1934'",12
b'dispersive shocks in continuous & discrete media',6
b'topology optimization and effective properties of composites',6
b'impacts of a strong regulator along a productivity gradient  linking watersheds with reservoir food webs',1
b'theoretical modeling of silicate and oxide liquids and solids at high pressure and temperature',3
b'deformation mechanisms in thin metal films',7
"b'mathematical sciences  inverse problems, impedance potentials, and wavelets'",6
b'mathematical sciences  rui inverse problems in thermal imaging',6
b'explaining bubbles in experimental asset markets',2
"b'congressional committee jurisdictions, gatekeeping, and agenda setting'",11
b'phylogenetic structure of woody-plant communities',1
"b'temporal trends in species abundance and community structure of pelagic seabirds in the eastern tropical pacific, with implications for tuna commensalism and'",10
b'(nsf-cnpq)  application level adaptation and control for retrieval and delivery of continuous media over the internet',8
b'some problems related to model selection',14
b'specification of neuronal shape and connectivity in drosophila',9
b'mathematical sciences  asymptotic behavior of functionally dependent reaction diffusion systems',6
b'mathematical sciences   in underwater acoustics',6
b'predation by the physonect siphonophore nanomia cara',10
b'the impact of unions on wages and unemployment',12
b'csedi   res.  composition and seismic structure of the mantle transition zone',3
b'production of iron-complexing compounds by marine particle-associated bacteria',10
"b'a visual information management system  image databases, knowledge and visualization'",0
b'the impact of the new deal on local economic development',2
b'how do earthquakes generate extreme ground accelerations?',3
b'oral advocacy and supreme court decision making',11
b'dynamics of lava domes',6
b'quantitative observation of the micromechanics of the brittle-ductile transition in rocks',3
b'the determinants of punishment',2
"b'clergy, parishioners, and politics  a survey of elca and episcopal church ministers and parishioners'",11
"b'partial support of the gordon  conference on rock deformation  grain boundaries, interphase boundaries, and surfaces  structure, properties and'",3
b'northest pacific u.s globec coordinating office',10
b'environmental influences on commitment of mouse mid-hindbrain cells',9
b'sger - impact of a natural catastrophe on animal populations',1
b'semantics of parallel programs',13
"b'political science  first do no harm; elections, political parties and human rights'",11
"b'specialization, inequality, and the labor market for married women'",2
"b'preferences, information and incentives in committee decisions'",2
b'mathematical sciences  on a class of degenerate systems arising from the electrical heating of conductors',6
b'independence and the taste-homogeneity of optimal jurisdictions in a tiebaut economy with endogenous differentiated crowding effects',2
b'parallel algorithm for special graphs',15
b'mathematical sciences  investigations of phase transitions using relaxation and nonlocal regularization',6
b'mathematical sciences  mathematical problems in evolutionaryecology and electrochemistry',6
b'effects of role strain and role characteristics on health',12
b'scaling theories of the 3-d geometry and flows of river networks',5
b'5th mississippi state conference on differential equations & computational simulations',6
b'models of mantle flow and convection',3
b'mathematical sciences  stability and dynamics of pulses in nonlinear optical fibers',6
b'the origin and spread of grass-dominated ecosystems during the late tertiary of north america and how it relates to the evolution',1
b'political intermediation in a spanish election',11
b'solving crossing number problems with applications',15
b'strongly gravitating systems and waves in general relativity',4
"b'qeib  stochastic nonlinear population dynamics  mathematical models, biological experiments, and data analyses'",6
b'small-depth circuit complexity and relativized computation',15
"b'the integration of social and spatial data in the study of social change, population and the environment'",12
b'apparent group selection on butterfly diet',1
b'the global cost of policies to reduce greenhouse gas emissions',2
b'support in political science',11
"b'cryptic density dependence  the effects of spatial, ontogenetic, and individual variation in reef fish'",10
b'communication and coalitional behavior',2
b'adaptive multicast transport of realtime video over atm networks',8
"b'random allocations, budget constraints & walrasian equilibrium'",2
b'csedi  causes and consequences of mantle heterogeneity',3
b'u.s. globec  georges bank phase ii circulation modes on georges bank  quantifying water sources using the o-18 tracer',10
"b'social networks, social resources, and hurricane georges'",12
b'(ucsb and acta inc.)  seismic hazard and tectonic evolution of the inner california continental borderland',3
b'determination of velocity and fault geometry from inversion of the 1994 active-source larse data set',3
b'empirical studies of self-employment',2
b'crb  dynamic interactions between plant distributions and animal-generated disturbances  trajectories of restored communities',1
b'seeking increased impact for the parallel algorithmics technology',15
b'nonlinear dynamics in heterogeneous and random systems',6
b'affinity directed mobility for location independent data access',8
b'software reengineering via method extraction',13
b'u.s. globec  georges bank phase iii modes of circulation and mixing on georges bank -- quantifying source water using the oxygen isotope tracer',10
"b""travel grant for graduate students/junior faculty to attend the 2nd. international workshop on information processing in sensor networks (ipsn'03)""",8
b'soil-borne pathogens and tree recruitment in temperate forests',1
b'the determinants and consequences of midlife education',12
b'mathematical sciences  bayesian methods for the analysis of categorical data from similar sources & nonlinear time series analyses-theory & applications',14
b'specification formalism for component-based concurrent systems',13
b'measuring comovements at different business cycle frequencies and an alternative hac covariance estimator',2
b'circuit based complexity theory',15
b'the political psychology of crisis negotiations  an experimental design',11
b'computer-intensive methods for nonparametric time series analysis',14
b'a longitudinal view of economic mobility in the nineteenth century u.s.',2
b'bacterivorous ciliates in marine food webs  lipid chemistryand role in copepod nutrition',10
b'racial violence in the american south in the decade of the 1980s',12
b'advances in modern performance analysis  a new approach',8
b'network algorithms  scheduling and routing',15
b'black-hole physics and relativistic astrophysics',4
"b'math sciences  ""international conference on complementarityproblems  engineering & cconomic applications and computational methods; november 1-4, 1995;'",6
"b'equations of state, elasticity, and rheology of earth materials at high pressures and temperatures'",3
"b""chlorophyll-labeling experiments and the comparison of environmental factors' influence on phytoplankton specific growth rates""",10
"b'accomplishment based renewal for  in specification testing, nonparametric estimation and neural networks'",2
b'measuring distortions from the differential tax treatment ofcorporate and noncorporate income',2
b'patterns of prey capture by mnemiopsis leidyi and other lobate ctenophores',10
b'the social composition of occupations',12
b'the numerical analysis and application of high dimensional higher index daes',6
b'random models for turbulent fluid systems',6
b'entrepreneurship in hong kong',12
